,Debtor,Creditor,Type,Reference,Initial Amount,Currency,Bank,Charges,Date,Time (local),Status,str amount,unique ref + amount,country code,country
0,Alpha Inc,ACME INVEST.,fin.101,REF211,10000.0,USD,CHASUS3AXXX,0.02,2021-03-16,08:15:00,NEW,10000.0,REF21110000.0ACME INVEST.USD,US,United States of America
1,Alpha Inc,ACME INVEST.,fin.101,REF211,10000.0,USD,BINAADADXXX,0.015,2021-03-17,15:45:00,COMPLETED,10000.0,REF21110000.0ACME INVEST.USD,AD,Andorra
2,Alpha Inc,ACME ONE CORP. ,fin.101,REFTEST01,4537.0,USD,CHASUS3AXXX,0.02,2021-03-16,2013-10-01 00:00:00,NEW,4537.0,REFTEST014537.0ACME ONE CORP. USD,US,United States of America
3,Alpha Inc,ACME ONE CORP. ,fin.101,REFTEST01,4537.0,USD,BINAADADXXX,0.01,2021-03-16,12:45:00,PENDING,4537.0,REFTEST014537.0ACME ONE CORP. USD,AD,Andorra
4,Alpha Inc,ACME ONE CORP. ,fin.101,REFTEST01,4537.0,USD,BSJUARBJXXX,0.02,2021-03-18,14:15:00,COMPLETED,4537.0,REFTEST014537.0ACME ONE CORP. USD,AR,Argentina
5,Alpha Inc,ACME PRIVATE.,fin.101,REF211,1000000.0,USD,CHASUS3AXXX,0.01,2021-11-02,08:34:00,NEW,1000000.0,REF2111000000.0ACME PRIVATE.USD,US,United States of America
6,Alpha Inc,ACME PRIVATE.,fin.101,REF211,1000000.0,EUR,AGRIFRPPXXX,0.015,2021-11-03,12:40:00,PENDING,1000000.0,REF2111000000.0ACME PRIVATE.EUR,FR,France
7,Alpha Inc,ACME PRIVATE.,fin.101,REF211,1000000.0,EUR,REDJBY22XXX,0.015,2021-11-03,17:34:00,COMPLETED,1000000.0,REF2111000000.0ACME PRIVATE.EUR,BY,Belarus
8,Alpha Inc,ACME TRADE.,fin.101,REF211,11000.0,USD,CHASUS3AXXX,0.02,2021-03-16,09:16:00,NEW,11000.0,REF21111000.0ACME TRADE.USD,US,United States of America
9,Alpha Inc,ACME TRADE.,fin.101,REF211,11000.0,USD,AGRIFRPPXXX,0.01,2021-03-16,12:32:00,COMPLETED,11000.0,REF21111000.0ACME TRADE.USD,FR,France
10,Alpha Inc,ACME TRUST.,fin.101,REF21,23900.0,USD,CHASUS3AXXX,0.02,2021-03-16,10:11:00,NEW,23900.0,REF2123900.0ACME TRUST.USD,US,United States of America
11,Alpha Inc,ACME TRUST.,fin.101,REF21,23900.0,EUR,AGRIFRPPXXX,0.03,2021-03-16,17:34:00,DELIVERED,23900.0,REF2123900.0ACME TRUST.EUR,FR,France
12,Alpha Inc,ACME TWO SCRL,fin.101,REF111,5643.0,USD,CHASUS3AXXX,0.02,2021-03-20,13:14:00,NEW,5643.0,REF1115643.0ACME TWO SCRLUSD,US,United States of America
13,Alpha Inc,ACME TWO SCRL,fin.101,REF111,5643.0,USD,BINAADADXXX,0.01,2021-03-21,12:34:00,COMPLETED,5643.0,REF1115643.0ACME TWO SCRLUSD,AD,Andorra
14,Alpha Inc,ALT INC ,fin.101,REFD202102,4569.0,USD,CHASUS3AXXX,0.02,2021-02-21,10:23:00,NEW,4569.0,REFD2021024569.0ALT INC USD,US,United States of America
15,Alpha Inc,ALT INC ,fin.101,REFD202102,4569.0,USD,AGRIFRPPXXX,0.01,2021-02-21,11:43:00,PROCESSING,4569.0,REFD2021024569.0ALT INC USD,FR,France
16,Alpha Inc,ALT INC ,fin.101,REFD202102,4569.0,USD,REDJBY22XXX,0.08,2021-02-21,17:02:00,PROCESSING,4569.0,REFD2021024569.0ALT INC USD,BY,Belarus
17,Alpha Inc,ALT-2 INC ,fin.101,REFD202103,456.0,USD,CHASUS3AXXX,0.01,2021-02-26,12:43:00,NEW,456.0,REFD202103456.0ALT-2 INC USD,US,United States of America
18,Alpha Inc,ALT-2 INC ,fin.101,REFD202103,456.0,USD,CHASUS3AXXX,0.02,2021-02-26,15:41:00,PENDING,456.0,REFD202103456.0ALT-2 INC USD,US,United States of America
19,Alpha Inc,ALT-2 INC ,fin.101,REFD202103,456.0,USD,CHASUS3AXXX,0.01,2021-02-26,18:10:00,DELIVERED,456.0,REFD202103456.0ALT-2 INC USD,US,United States of America
20,Alpha Inc,Beta Corp,fin.101,REF001,3326.0,USD,CHASUS3AXXX,0.01,2022-01-10,12:43:00,NEW,3326.0,REF0013326.0Beta CorpUSD,US,United States of America
21,Alpha Inc,Beta Corp,fin.101,REF001,3326.0,USD,CHASUS3AXXX,0.02,2022-01-11,14:32:00,PENDING,3326.0,REF0013326.0Beta CorpUSD,US,United States of America
22,Alpha Inc,Beta Corp,fin.101,REF001,3326.0,EUR,BINAADADXXX,0.01,2022-01-11,18:21:00,PENDING,3326.0,REF0013326.0Beta CorpEUR,AD,Andorra
23,Alpha Inc,Beta Corp,fin.101,REF001DEMO,1100.0,USD,CHASUS3AXXX,0.02,2021-02-07,15:43:00,NEW,1100.0,REF001DEMO1100.0Beta CorpUSD,US,United States of America
24,Alpha Inc,Beta Corp,fin.101,REF001DEMO,1100.0,USD,FNROCNBQXXX,0.01,2021-02-08,17:21:00,COMPLETED,1100.0,REF001DEMO1100.0Beta CorpUSD,CN,China
25,Alpha Inc,CARGO INC ,fin.101,REFD543105,1100.0,USD,CHASUS3AXXX,0.08,2021-03-02,12:12:00,NEW,1100.0,REFD5431051100.0CARGO INC USD,US,United States of America
26,Alpha Inc,CARGO INC ,fin.101,REFD543105,1100.0,USD,FNROCNBQXXX,0.01,2021-03-02,13:43:00,PENDING,1100.0,REFD5431051100.0CARGO INC USD,CN,China
27,Alpha Inc,CARGO INC ,fin.101,REFD543105,1100.0,USD,FNROCNBQXXX,0.02,2021-03-03,18:10:00,COMPLETED,1100.0,REFD5431051100.0CARGO INC USD,CN,China
28,Alpha Inc,BETA NV.,fin.101,REFDEMO01,900.0,USD,CHASUS3AXXX,0.01,2021-11-22,11:12:00,NEW,900.0,REFDEMO01900.0BETA NV.USD,US,United States of America
29,Alpha Inc,BETA NV.,fin.101,REFDEMO01,900.0,USD,REDJBY22XXX,0.01,2021-11-24,14:44:00,COMPLETED,900.0,REFDEMO01900.0BETA NV.USD,BY,Belarus
30,Alpha Inc,Beta NV.,fin.101,REFDEMO01,1025.0,USD,CHASUS3AXXX,0.02,2021-11-20,10:23:00,NEW,1025.0,REFDEMO011025.0Beta NV.USD,US,United States of America
31,Alpha Inc,Beta NV.,fin.101,REFDEMO01,1025.0,USD,REDJBY22XXX,0.01,2021-11-21,11:32:00,COMPLETED,1025.0,REFDEMO011025.0Beta NV.USD,BY,Belarus
32,Alpha Inc,BRITA SUPPORT,fin.101,REFDEM012,238.0,USD,CHASUS3AXXX,0.08,2021-01-15,18:10:00,NEW,238.0,REFDEM012238.0BRITA SUPPORTUSD,US,United States of America
33,Alpha Inc,BRITA SUPPORT,fin.101,REFDEM012,238.0,USD,CHASUS3AXXX,0.08,2021-01-15,12:43:00,CANCELLED,238.0,REFDEM012238.0BRITA SUPPORTUSD,US,United States of America
34,Alpha Inc,CANONIC ,fin.101,REFDEM9992,6709.0,USD,CHASUS3AXXX,0.01,2021-01-13,14:32:00,NEW,6709.0,REFDEM99926709.0CANONIC USD,US,United States of America
35,Alpha Inc,CANONIC ,fin.101,REFDEM9992,6709.0,EUR,FINVALTRXXX,0.03,2021-01-13,14:32:00,COMPLETED,6709.0,REFDEM99926709.0CANONIC EUR,AL,Albania
36,Alpha Inc,CRETA SUPPORT,fin.101,REFDEM0091,5188.0,EUR,CHASUS3AXXX,0.01,2021-01-14,15:43:00,NEW,5188.0,REFDEM00915188.0CRETA SUPPORTEUR,US,United States of America
37,Alpha Inc,CRETA SUPPORT,fin.101,REFDEM0091,5188.0,EUR,TSIBAU44XXX,0.01,2021-01-14,15:43:00,COMPLETED,5188.0,REFDEM00915188.0CRETA SUPPORTEUR,AU,Australia
38,Alpha Inc,CROCTUS NY,fin.101,REFDEM5591,120.0,USD,CHASUS3AXXX,0.01,2021-01-05,12:12:00,NEW,120.0,REFDEM5591120.0CROCTUS NYUSD,US,United States of America
39,Alpha Inc,CROCTUS NY,fin.101,REFDEM5591,120.0,USD,FINVALTRXXX,0.01,2021-01-05,12:19:00,PENDING,120.0,REFDEM5591120.0CROCTUS NYUSD,AL,Albania
40,Alpha Inc,CROCTUS NY,fin.101,REFDEM5591,120.0,USD,TSIBAU44XXX,0.01,2021-01-05,17:20:00,DELIVERED,120.0,REFDEM5591120.0CROCTUS NYUSD,AU,Australia
41,Alpha Inc,CROSSSUPPORT SA,fin.101,REFDEM5591,6720.0,EUR,CHASUS3AXXX,0.02,2021-01-28,13:23:00,NEW,6720.0,REFDEM55916720.0CROSSSUPPORT SAEUR,US,United States of America
42,Alpha Inc,CROSSSUPPORT SA,fin.101,REFDEM5591,6720.0,EUR,FNROCNBQXXX,0.02,2021-01-28,19:10:00,COMPLETED,6720.0,REFDEM55916720.0CROSSSUPPORT SAEUR,CN,China
43,Alpha Inc,DELTA INC ,fin.101,REFD10092,67569.0,EUR,CHASUS3AXXX,0.01,2021-01-13,11:23:00,NEW,67569.0,REFD1009267569.0DELTA INC EUR,US,United States of America
44,Alpha Inc,DELTA INC ,fin.101,REFD10092,67569.0,EUR,REDJBY22XXX,0.01,2021-01-13,12:45:00,COMPLETED,67569.0,REFD1009267569.0DELTA INC EUR,BY,Belarus
45,Alpha Inc,HAMILTON LTD.,fin.101,REF201,2100.0,USD,CHASUS3AXXX,0.02,2021-03-22,14:12:00,NEW,2100.0,REF2012100.0HAMILTON LTD.USD,US,United States of America
46,Alpha Inc,HAMILTON LTD.,fin.101,REF201,2100.0,USD,FNROCNBQXXX,0.02,2021-03-22,17:10:00,COMPLETED,2100.0,REF2012100.0HAMILTON LTD.USD,CN,China
47,Alpha Inc,ICRETA NV.,fin.101,REFDEMO01,800.0,USD,CHASUS3AXXX,0.01,2020-11-20,09:12:00,NEW,800.0,REFDEMO01800.0ICRETA NV.USD,US,United States of America
48,Alpha Inc,ICRETA NV.,fin.101,REFDEMO01,800.0,USD,TSIBAU44XXX,0.01,2020-11-22,17:10:00,COMPLETED,800.0,REFDEMO01800.0ICRETA NV.USD,AU,Australia
49,Alpha Inc,IntellectEU NV.,fin.101,REFDEMO02,1025.0,USD,CHASUS3AXXX,0.08,2020-11-20,11:19:00,NEW,1025.0,REFDEMO021025.0IntellectEU NV.USD,US,United States of America
50,Alpha Inc,IntellectEU NV.,fin.101,REFDEMO02,1025.0,USD,REDJBY22XXX,0.08,2020-11-20,21:10:00,COMPLETED,1025.0,REFDEMO021025.0IntellectEU NV.USD,BY,Belarus
51,Alpha Inc,ISUPPLIER1 US.,fin.101,REFDEMO01,87600.0,USD,CHASUS3AXXX,0.01,2020-11-21,11:23:00,NEW,87600.0,REFDEMO0187600.0ISUPPLIER1 US.USD,US,United States of America
52,Alpha Inc,ISUPPLIER1 US.,fin.101,REFDEMO01,87600.0,USD,FNROCNBQXXX,0.01,2020-11-21,14:12:00,COMPLETED,87600.0,REFDEMO0187600.0ISUPPLIER1 US.USD,CN,China
53,Alpha Inc,ISUPPLIER2 PL.,fin.101,REFDEMO901,1600.0,USD,CHASUS3AXXX,0.04,2020-11-27,09:45:00,NEW,1600.0,REFDEMO9011600.0ISUPPLIER2 PL.USD,US,United States of America
54,Alpha Inc,ISUPPLIER2 PL.,fin.101,REFDEMO901,1600.0,USD,TSIBAU44XXX,0.01,2020-11-27,18:20:00,COMPLETED,1600.0,REFDEMO9011600.0ISUPPLIER2 PL.USD,AU,Australia
55,Alpha Inc,QUATRO INC ,fin.101,REFD543104,3100.0,USD,CHASUS3AXXX,0.01,2021-03-01,11:23:00,NEW,3100.0,REFD5431043100.0QUATRO INC USD,US,United States of America
56,Alpha Inc,QUATRO INC ,fin.101,REFD543104,3100.0,USD,TSIBAU44XXX,0.08,2021-03-01,18:10:00,DELIVERED,3100.0,REFD5431043100.0QUATRO INC USD,AU,Australia
57,Alpha Inc,SIGMA INC ,fin.101,REFD543103,456.0,USD,CHASUS3AXXX,0.02,2021-03-01,14:23:00,NEW,456.0,REFD543103456.0SIGMA INC USD,US,United States of America
58,Alpha Inc,SIGMA INC ,fin.101,REFD543103,456.0,USD,REDJBY22XXX,0.01,2021-03-01,19:12:00,COMPLETED,456.0,REFD543103456.0SIGMA INC USD,BY,Belarus
59,Alpha Inc,SOCIETE GEN SA,fin.101,REFDEM1591,348.0,EUR,CHASUS3AXXX,0.07,2021-01-15,08:34:00,NEW,348.0,REFDEM1591348.0SOCIETE GEN SAEUR,US,United States of America
60,Alpha Inc,SOCIETE GEN SA,fin.101,REFDEM1591,348.0,EUR,TSIBAU44XXX,0.01,2021-01-15,12:39:00,COMPLETED,348.0,REFDEM1591348.0SOCIETE GEN SAEUR,AU,Australia
61,Alpha Inc,TRADE INC ,fin.101,REFD10192,67569.0,EUR,CHASUS3AXXX,0.01,2021-01-21,09:54:00,NEW,67569.0,REFD1019267569.0TRADE INC EUR,US,United States of America
62,Alpha Inc,TRADE INC ,fin.101,REFD10192,67569.0,EUR,BINAADADXXX,0.08,2021-01-22,17:32:00,COMPLETED,67569.0,REFD1019267569.0TRADE INC EUR,AD,Andorra
63,Alpha Inc,TRADE INC ,fin.101,REFD543105,1100.0,USD,CHASUS3AXXX,0.01,2021-03-02,14:32:00,NEW,1100.0,REFD5431051100.0TRADE INC USD,US,United States of America
64,Alpha Inc,TRADE INC ,fin.101,REFD543105,1100.0,USD,REDJBY22XXX,0.01,2021-03-03,15:34:00,PENDING,1100.0,REFD5431051100.0TRADE INC USD,BY,Belarus
65,Alpha Inc,ZERO LTD.,fin.101,REFZ999,12100.0,USD,CHASUS3AXXX,0.08,2021-03-23,08:12:00,NEW,12100.0,REFZ99912100.0ZERO LTD.USD,US,United States of America
66,Alpha Inc,ZERO LTD.,fin.101,REFZ999,12100.0,USD,REDJBY22XXX,0.08,2021-03-23,12:34:00,COMPLETED,12100.0,REFZ99912100.0ZERO LTD.USD,BY,Belarus
67,Alpha Inc,ACME INVEST.,fin.101,REF211,10000.0,USD,CHASUS3AXXX,0.02,2021-01-21,09:45:00,NEW,10000.0,REF21110000.0ACME INVEST.USD,US,United States of America
68,Alpha Inc,ACME INVEST.,fin.101,REF211,10000.0,USD,BINAADADXXX,0.015,2021-01-27,12:48:00,COMPLETED,10000.0,REF21110000.0ACME INVEST.USD,AD,Andorra
69,Alpha Inc,ACME ONE CORP. ,fin.101,REFTEST01,2345.0,USD,CHASUS3AXXX,0.02,2021-12-19,10:12:00,NEW,2345.0,REFTEST012345.0ACME ONE CORP. USD,US,United States of America
70,Alpha Inc,ACME ONE CORP. ,fin.101,REFTEST01,2345.0,USD,BINAADADXXX,0.01,2021-12-20,13:29:00,PENDING,2345.0,REFTEST012345.0ACME ONE CORP. USD,AD,Andorra
71,Alpha Inc,ACME ONE CORP. ,fin.101,REFTEST01,2345.0,USD,BSJUARBJXXX,0.02,2021-12-20,1900-01-01 00:00:00,COMPLETED,2345.0,REFTEST012345.0ACME ONE CORP. USD,AR,Argentina
72,Alpha Inc,ACME PRIVATE.,fin.101,REF211,7890.0,USD,CHASUS3AXXX,0.01,2021-04-11,12:34:00,NEW,7890.0,REF2117890.0ACME PRIVATE.USD,US,United States of America
73,Alpha Inc,ACME PRIVATE.,fin.101,REF211,7890.0,EUR,AGRIFRPPXXX,0.015,2021-04-11,17:12:00,PENDING,7890.0,REF2117890.0ACME PRIVATE.EUR,FR,France
74,Alpha Inc,ACME PRIVATE.,fin.101,REF211,7890.0,EUR,REDJBY22XXX,0.015,2021-04-13,18:10:00,COMPLETED,7890.0,REF2117890.0ACME PRIVATE.EUR,BY,Belarus
75,Alpha Inc,ACME TRADE.,fin.101,REF211,12000.0,USD,CHASUS3AXXX,0.02,2021-02-13,09:16:00,NEW,12000.0,REF21112000.0ACME TRADE.USD,US,United States of America
76,Alpha Inc,ACME TRADE.,fin.101,REF211,12000.0,USD,AGRIFRPPXXX,0.01,2021-02-14,12:32:00,COMPLETED,12000.0,REF21112000.0ACME TRADE.USD,FR,France
77,Alpha Inc,ACME TRUST.,fin.101,REF21,12000.0,USD,CHASUS3AXXX,0.02,2021-07-11,10:11:00,NEW,12000.0,REF2112000.0ACME TRUST.USD,US,United States of America
78,Alpha Inc,ACME TRUST.,fin.101,REF21,12000.0,EUR,AGRIFRPPXXX,0.03,2021-07-11,17:34:00,DELIVERED,12000.0,REF2112000.0ACME TRUST.EUR,FR,France
79,Alpha Inc,ACME TWO SCRL,fin.101,REF111,30000.0,USD,CHASUS3AXXX,0.02,2021-04-19,13:14:00,NEW,30000.0,REF11130000.0ACME TWO SCRLUSD,US,United States of America
80,Alpha Inc,ACME TWO SCRL,fin.101,REF111,3000.0,USD,BINAADADXXX,0.01,2021-04-20,12:34:00,COMPLETED,3000.0,REF1113000.0ACME TWO SCRLUSD,AD,Andorra
81,Alpha Inc,ALT INC ,fin.101,REFD202102,12400.0,USD,CHASUS3AXXX,0.02,2021-09-15,10:23:00,NEW,12400.0,REFD20210212400.0ALT INC USD,US,United States of America
82,Alpha Inc,ALT INC ,fin.101,REFD202102,12400.0,USD,AGRIFRPPXXX,0.01,2021-09-16,11:43:00,PROCESSING,12400.0,REFD20210212400.0ALT INC USD,FR,France
83,Alpha Inc,ALT INC ,fin.101,REFD202102,12400.0,USD,REDJBY22XXX,0.08,2021-09-16,17:02:00,PROCESSING,12400.0,REFD20210212400.0ALT INC USD,BY,Belarus
84,Alpha Inc,ALT-2 INC ,fin.101,REFD202103,17430.0,USD,CHASUS3AXXX,0.01,2021-07-11,12:43:00,NEW,17430.0,REFD20210317430.0ALT-2 INC USD,US,United States of America
85,Alpha Inc,ALT-2 INC ,fin.101,REFD202103,17430.0,USD,CHASUS3AXXX,0.02,2021-07-12,15:41:00,PENDING,17430.0,REFD20210317430.0ALT-2 INC USD,US,United States of America
86,Alpha Inc,ALT-2 INC ,fin.101,REFD202103,17430.0,USD,CHASUS3AXXX,0.01,2021-07-13,18:10:00,DELIVERED,17430.0,REFD20210317430.0ALT-2 INC USD,US,United States of America
87,Alpha Inc,Beta Corp,fin.101,REF001,12000.0,USD,CHASUS3AXXX,0.01,2021-10-05,12:43:00,NEW,12000.0,REF00112000.0Beta CorpUSD,US,United States of America
88,Alpha Inc,Beta Corp,fin.101,REF001,12000.0,USD,CHASUS3AXXX,0.02,2021-10-05,14:32:00,PENDING,12000.0,REF00112000.0Beta CorpUSD,US,United States of America
89,Alpha Inc,Beta Corp,fin.101,REF001,12000.0,EUR,BINAADADXXX,0.01,2021-10-07,18:21:00,PENDING,12000.0,REF00112000.0Beta CorpEUR,AD,Andorra
